纬度,日期,时间,经度,海拔,速度,地面航向
4047.6,100517,'013431,11141.733,1058,000.0,340.7
4047.6,100517,'013432,11141.733,1058,000.0,340.7
4047.6,100517,'013433,11141.733,1058,000.0,340.7
4047.6,100517,'013434,11141.733,1058,000.0,340.7
4047.6,100517,'013435,11141.733,1058,000.0,340.7
4047.6,100517,'013436,11141.733,1058,000.0,340.7
4047.6,100517,'013437,11141.733,1058,000.4,340.7
4047.6,100517,'013438,11141.733,1058,000.4,340.7
4047.6,100517,'013439,11141.733,1058,000.4,340.7
4047.6,100517,'013440,11141.733,1058,000.6,337.5
4047.6,100517,'013441,11141.733,1057,000.6,349.7
4047.6,100517,'013442,11141.733,1057,000.9,348.5
4047.6,100517,'013443,11141.733,1057,000.9,347.2
4047.6,100517,'013444,11141.732,1058,001.1,348.9
4047.6,100517,'013445,11141.732,1057,001.5,340.0
4047.6,100517,'013446,11141.732,1057,001.9,341.0
4047.6,100517,'013447,11141.731,1057,002.5,341.4
4047.6,100517,'013448,11141.731,1057,004.1,339.1
4047.6,100517,'013449,11141.729,1057,005.1,337.8
4047.6,100517,'013450,11141.729,1057,007.0,337.0
4047.6,100517,'013451,11141.727,1058,007.4,336.4
4047.6,100517,'013452,11141.726,1058,008.8,335.9
4047.6,100517,'013453,11141.724,1058,009.7,335.1
4047.6,100517,'013454,11141.722,1058,009.1,334.8
4047.6,100517,'013455,11141.721,1058,008.4,335.7
4047.6,100517,'013456,11141.720,1058,009.3,337.2
4047.6,100517,'013457,11141.719,1058,008.8,338.4
4047.6,100517,'013458,11141.718,1058,008.5,340.7
4047.6,100517,'013459,11141.717,1058,010.0,343.2
4047.6,100517,'013500,11141.716,1058,011.9,345.1
4047.6,100517,'013501,11141.715,1057,012.3,345.6
4047.6,100517,'013502,11141.714,1057,012.0,346.5
4047.6,100517,'013503,11141.713,1057,012.9,345.5
4047.6,100517,'013504,11141.711,1058,012.3,343.8
4047.6,100517,'013505,11141.709,1057,012.4,342.7
4047.6,100517,'013506,11141.708,1057,012.1,342.1
4047.6,100517,'013507,11141.707,1057,011.8,341.1
4047.6,100517,'013508,11141.705,1057,011.3,340.8
4047.6,100517,'013509,11141.704,1057,009.5,341.0
4047.6,100517,'013510,11141.704,1058,008.9,340.9
4047.6,100517,'013511,11141.703,1058,009.0,341.5
4047.6,100517,'013512,11141.702,1057,009.4,342.1
4047.6,100517,'013513,11141.701,1057,008.3,343.1
4047.6,100517,'013514,11141.701,1057,006.0,342.0
4047.6,100517,'013515,11141.700,1057,005.3,341.7
4047.7,100517,'013516,11141.700,1056,004.9,343.9
4047.7,100517,'013517,11141.699,1056,002.4,343.9
4047.7,100517,'013518,11141.700,1056,002.0,343.9
4047.7,100517,'013519,11141.700,1057,002.3,343.9
4047.7,100517,'013520,11141.701,1057,003.1,333.9
4047.7,100517,'013521,11141.700,1057,005.7,334.5
4047.7,100517,'013522,11141.700,1057,009.4,335.5
4047.7,100517,'013523,11141.699,1057,013.1,336.1
4047.7,100517,'013524,11141.698,1057,013.1,336.7
4047.7,100517,'013525,11141.697,1057,009.2,339.7
4047.7,100517,'013526,11141.696,1057,004.5,347.2
4047.7,100517,'013527,11141.696,1057,000.0,347.2
4047.7,100517,'013528,11141.696,1057,000.0,347.2
4047.7,100517,'013529,11141.695,1057,000.0,347.2
4047.7,100517,'013530,11141.695,1057,000.0,347.2
4047.7,100517,'013531,11141.695,1057,000.0,347.2
4047.7,100517,'013532,11141.695,1057,000.0,347.2
4047.7,100517,'013533,11141.695,1057,000.0,347.2
4047.7,100517,'013534,11141.695,1057,000.0,347.2
4047.7,100517,'013535,11141.695,1057,000.0,347.2
4047.7,100517,'013536,11141.695,1057,000.0,347.2
4047.7,100517,'013537,11141.695,1057,000.0,347.2
4047.7,100517,'013538,11141.695,1057,000.0,347.2
4047.7,100517,'013539,11141.695,1057,000.0,347.2
4047.7,100517,'013540,11141.695,1057,000.0,347.2
4047.7,100517,'013541,11141.695,1057,000.0,347.2
4047.7,100517,'013542,11141.695,1057,000.0,347.2
4047.7,100517,'013543,11141.695,1057,000.0,347.2
4047.7,100517,'013544,11141.695,1057,000.0,347.2
4047.7,100517,'013545,11141.695,1057,000.0,347.2
4047.7,100517,'013546,11141.695,1057,000.0,347.2
4047.7,100517,'013547,11141.695,1057,000.0,347.2
4047.7,100517,'013548,11141.695,1057,000.0,347.2
4047.7,100517,'013549,11141.695,1057,000.0,347.2
4047.7,100517,'013550,11141.695,1057,000.0,347.2
4047.7,100517,'013551,11141.695,1057,000.0,347.2
4047.7,100517,'013552,11141.695,1057,000.0,347.2
4047.7,100517,'013553,11141.695,1057,000.0,347.2
4047.7,100517,'013554,11141.695,1057,000.0,347.2
4047.7,100517,'013555,11141.695,1057,000.0,347.2
4047.7,100517,'013556,11141.695,1057,000.0,347.2
4047.7,100517,'013557,11141.695,1057,000.0,347.2
4047.7,100517,'013558,11141.695,1057,000.0,347.2
4047.7,100517,'013559,11141.695,1057,000.0,347.2
4047.7,100517,'013600,11141.695,1057,000.0,347.2
4047.7,100517,'013601,11141.695,1057,000.0,347.2
4047.7,100517,'013602,11141.695,1057,000.0,347.2
4047.7,100517,'013603,11141.695,1057,000.0,347.2
4047.7,100517,'013604,11141.695,1057,000.0,347.2
4047.7,100517,'013605,11141.695,1057,000.0,347.2
4047.7,100517,'013606,11141.695,1057,000.0,347.2
4047.7,100517,'013607,11141.695,1057,000.0,347.2
4047.7,100517,'013608,11141.695,1057,000.0,347.2
4047.7,100517,'013609,11141.695,1057,000.0,347.2
4047.7,100517,'013610,11141.695,1057,000.0,347.2
4047.7,100517,'013611,11141.695,1057,000.0,347.2
4047.7,100517,'013612,11141.695,1057,000.0,347.2
4047.7,100517,'013613,11141.695,1057,000.0,347.2
4047.7,100517,'013614,11141.695,1057,000.0,347.2
4047.7,100517,'013615,11141.695,1057,000.0,347.2
4047.7,100517,'013616,11141.695,1057,000.0,347.2
4047.7,100517,'013617,11141.695,1057,000.0,347.2
4047.7,100517,'013618,11141.695,1057,000.0,347.2
4047.7,100517,'013619,11141.695,1057,000.0,347.2
4047.7,100517,'013620,11141.695,1057,000.0,347.2
4047.7,100517,'013621,11141.695,1057,000.0,347.2
4047.7,100517,'013622,11141.695,1057,000.0,347.2
4047.7,100517,'013623,11141.695,1057,000.0,347.2
4047.7,100517,'013624,11141.695,1057,000.0,347.2
4047.7,100517,'013625,11141.695,1057,000.0,347.2
4047.7,100517,'013626,11141.695,1057,000.0,347.2
4047.7,100517,'013627,11141.695,1057,000.0,347.2
4047.7,100517,'013628,11141.695,1057,000.0,347.2
4047.7,100517,'013629,11141.695,1057,000.0,347.2
4047.7,100517,'013630,11141.695,1057,000.0,347.2
4047.7,100517,'013631,11141.695,1057,000.0,347.2
4047.7,100517,'013632,11141.695,1057,000.0,347.2
4047.7,100517,'013633,11141.695,1057,000.0,347.2
4047.7,100517,'013634,11141.695,1057,000.0,347.2
4047.7,100517,'013635,11141.695,1057,000.0,347.2
4047.7,100517,'013636,11141.695,1057,000.0,347.2
4047.7,100517,'013637,11141.695,1057,000.0,347.2
4047.7,100517,'013638,11141.695,1057,000.0,347.2
4047.7,100517,'013639,11141.695,1057,000.0,347.2
4047.7,100517,'013640,11141.695,1057,000.0,347.2
4047.7,100517,'013641,11141.695,1057,000.0,347.2
4047.7,100517,'013642,11141.695,1057,000.0,347.2
4047.7,100517,'013643,11141.695,1057,000.0,347.2
4047.7,100517,'013644,11141.695,1057,000.0,347.2
4047.7,100517,'013645,11141.695,1057,000.0,347.2
4047.7,100517,'013646,11141.695,1057,000.0,347.2
4047.7,100517,'013647,11141.695,1057,000.0,347.2
4047.7,100517,'013648,11141.695,1057,000.0,347.2
4047.7,100517,'013649,11141.695,1057,000.0,347.2
4047.7,100517,'013650,11141.695,1057,000.0,347.2
4047.7,100517,'013651,11141.695,1057,000.0,347.2
4047.7,100517,'013652,11141.695,1057,000.0,347.2
4047.7,100517,'013653,11141.695,1057,000.0,347.2
